servers,workload,cpu,energy,temperature,efficiency
3,54.26,49.18,78.31,30.08,55.45
3,57.84,53.41,87.79,30.2,53.98
4,60.49,52.83,102.93,30.38,43.66
4,62.99,61.51,107.63,30.58,49.91
3,64.14,58.49,94.13,30.73,56.38
3,66.27,60.56,95.15,30.87,59.16
4,66.82,55.76,104.08,31.05,52.84
4,67.86,60.2,110.52,31.26,54.1
4,68.18,71.09,112.34,31.47,50.21
3,67.58,60.32,88.57,31.59,65.02
4,67.32,67.88,116.29,31.81,47.03
3,66.11,61.78,98.06,31.96,61.2
4,63.96,58.92,104.34,32.14,49.7
4,61.98,54.73,103.61,32.31,48.27
3,60.7,58.02,87.16,32.41,59.49
4,58.34,58.44,102.35,32.58,45.86
3,55.72,48.61,82.86,32.67,56.52
3,52.94,45.05,76.99,32.73,53.23
3,50.35,45.37,78.58,32.8,49.4
3,47.56,41.88,78.46,32.86,47.36
3,45.46,37.15,74.53,32.91,47.55
3,43.12,40.43,69.85,32.95,50.25
2,41.94,40.17,64.32,32.96,54.88
2,40.17,38.94,59.83,32.81,57.76
3,39.37,35.28,75.38,32.87,37.08
2,37.82,39.65,63.0,32.87,44.97
3,37.13,34.28,78.04,32.94,35.89
3,36.35,32.5,71.19,32.97,38.42
2,36.19,34.81,58.18,32.83,51.26
3,36.78,35.94,75.71,32.89,38.1
3,36.45,38.63,72.95,32.93,34.56
3,36.08,29.71,68.76,32.96,37.41
3,37.03,33.15,72.78,33.0,33.67
2,39.14,36.86,59.46,32.86,56.12
2,40.06,39.53,64.17,32.87,53.82
3,40.98,36.32,68.71,32.89,44.44
3,41.93,38.45,82.12,32.98,41.86
2,42.17,37.51,55.98,32.83,61.34
2,42.22,40.24,64.84,32.84,55.25
3,42.75,36.48,69.53,32.88,45.63
2,42.51,40.37,60.62,32.73,60.32
3,41.73,41.25,78.45,32.8,40.87
2,41.6,36.69,62.98,32.81,56.03
3,40.89,32.67,67.21,32.83,41.48
2,39.83,35.65,63.86,32.84,51.13
2,38.4,32.69,56.71,32.7,57.3
3,38.47,37.26,75.07,32.75,37.07
2,37.19,32.56,54.4,32.61,58.41
2,37.13,35.83,57.69,32.47,54.31
3,37.44,35.3,74.27,32.53,39.16
3,36.66,33.62,73.34,32.57,37.69
3,36.36,32.64,68.46,32.6,37.53
3,35.71,31.69,66.89,32.62,42.08
2,35.2,34.92,54.81,32.49,55.02
3,35.81,32.35,76.49,32.55,37.58
2,36.34,34.67,58.28,32.41,53.36
3,37.87,31.03,71.72,32.45,34.32
2,38.4,32.72,54.94,32.32,59.93
3,40.5,37.75,78.57,32.39,43.14
3,42.66,42.98,80.36,32.47,44.1
3,45.54,45.36,76.97,32.53,45.47
2,48.5,44.25,66.74,32.55,62.66
3,51.24,45.54,80.94,32.63,54.33
2,54.47,46.87,62.74,32.64,80.59
4,57.53,51.56,102.91,32.8,44.02
4,59.38,55.94,104.93,32.97,41.98
4,62.18,57.19,104.95,33.15,45.95
3,64.45,53.72,85.87,33.24,62.04
4,66.65,64.81,111.42,33.44,46.64
3,67.78,62.47,90.92,33.55,64.28
3,68.45,59.79,98.01,33.69,58.09
3,68.96,67.49,104.05,33.86,55.5
